SiteID, 93358.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.87149
Latitude, 40.811035
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2010,1,1,0,0,4.979,8.072000000000001
2010,1,1,0,5,5.001,8.084
2010,1,1,0,10,4.978,8.072000000000001
2010,1,1,0,15,4.918,8.038
2010,1,1,0,20,4.769,7.956
2010,1,1,0,25,4.566,7.843
2010,1,1,0,30,4.3950000000000005,7.748
2010,1,1,0,35,4.225,7.654
2010,1,1,0,40,4.066,7.565
2010,1,1,0,45,4.054,7.559
2010,1,1,0,50,4.021,7.541
2010,1,1,0,55,4.016,7.538
2010,1,1,1,0,4.1530000000000005,7.614
2010,1,1,1,5,4.17,7.623
2010,1,1,1,10,4.248,7.666
2010,1,1,1,15,4.198,7.638
2010,1,1,1,20,4.083,7.574
2010,1,1,1,25,4.116,7.593
2010,1,1,1,30,4.276,7.681
2010,1,1,1,35,4.155,7.614
2010,1,1,1,40,4.045,7.553
2010,1,1,1,45,3.99,7.522
2010,1,1,1,50,3.93,7.489
2010,1,1,1,55,3.87,7.455
2010,1,1,2,0,3.914,7.48
2010,1,1,2,5,4.046,7.553
2010,1,1,2,10,4.14,7.605
2010,1,1,2,15,4.277,7.681
2010,1,1,2,20,4.476,7.791
2010,1,1,2,25,4.729,7.931
2010,1,1,2,30,4.921,8.038
2010,1,1,2,35,4.915,8.035
2010,1,1,2,40,4.789,7.965
2010,1,1,2,45,4.69,7.91
2010,1,1,2,50,4.679,7.904
2010,1,1,2,55,4.921,8.038
2010,1,1,3,0,5.285,8.24
2010,1,1,3,5,5.553,8.383000000000001
2010,1,1,3,10,5.862,8.52
2010,1,1,3,15,5.992,8.578
2010,1,1,3,20,5.931,8.551
2010,1,1,3,25,5.78,8.484
2010,1,1,3,30,5.602,8.404
2010,1,1,3,35,5.468,8.34
2010,1,1,3,40,5.276,8.233
2010,1,1,3,45,5.089,8.13
2010,1,1,3,50,5.096,8.133000000000001
2010,1,1,3,55,5.239,8.212
2010,1,1,4,0,5.295,8.243
2010,1,1,4,5,5.235,8.209
2010,1,1,4,10,5.142,8.157
2010,1,1,4,15,5.049,8.105
2010,1,1,4,20,4.9670000000000005,8.059000000000001
2010,1,1,4,25,4.913,8.029
2010,1,1,4,30,4.902,8.023
2010,1,1,4,35,4.837,7.986
2010,1,1,4,40,4.7,7.91
2010,1,1,4,45,4.612,7.861
2010,1,1,4,50,4.59,7.849
2010,1,1,4,55,4.6080000000000005,7.8580000000000005
2010,1,1,5,0,4.713,7.916
2010,1,1,5,5,4.807,7.968
2010,1,1,5,10,4.852,7.992
2010,1,1,5,15,4.907,8.023
2010,1,1,5,20,4.973,8.059000000000001
2010,1,1,5,25,5.089,8.124
2010,1,1,5,30,5.172,8.169
2010,1,1,5,35,5.1610000000000005,8.163
2010,1,1,5,40,5.1290000000000004,8.145
2010,1,1,5,45,5.046,8.099
2010,1,1,5,50,4.8870000000000005,8.011000000000001
2010,1,1,5,55,4.739,7.928
2010,1,1,6,0,4.64,7.873
2010,1,1,6,5,4.519,7.806
2010,1,1,6,10,4.359,7.718
2010,1,1,6,15,4.216,7.638
2010,1,1,6,20,4.0840000000000005,7.565
2010,1,1,6,25,4.045,7.5440000000000005
2010,1,1,6,30,4.089,7.5680000000000005
2010,1,1,6,35,4.057,7.55
2010,1,1,6,40,3.914,7.47
2010,1,1,6,45,3.738,7.373
2010,1,1,6,50,3.661,7.33
2010,1,1,6,55,3.607,7.296
2010,1,1,7,0,3.536,7.245
2010,1,1,7,5,3.435,7.171
2010,1,1,7,10,3.36,7.1160000000000005
2010,1,1,7,15,3.314,7.083
2010,1,1,7,20,3.331,7.095
2010,1,1,7,25,3.3810000000000002,7.132000000000001
2010,1,1,7,30,3.415,7.156000000000001
2010,1,1,7,35,3.419,7.159
2010,1,1,7,40,3.39,7.138
2010,1,1,7,45,3.398,7.144
2010,1,1,7,50,3.415,7.156000000000001
2010,1,1,7,55,3.419,7.159
2010,1,1,8,0,3.369,7.123
2010,1,1,8,5,3.34,7.101
2010,1,1,8,10,3.294,7.0680000000000005
2010,1,1,8,15,3.203,7.0
2010,1,1,8,20,3.116,6.936
2010,1,1,8,25,3.057,6.894
2010,1,1,8,30,3.04,6.881
2010,1,1,8,35,3.078,6.909
2010,1,1,8,40,3.049,6.888
2010,1,1,8,45,2.9330000000000003,6.8020000000000005
2010,1,1,8,50,2.816,6.7170000000000005
2010,1,1,8,55,2.704,6.634
2010,1,1,9,0,2.5380000000000003,6.5120000000000005
2010,1,1,9,5,2.396,6.408
2010,1,1,9,10,2.308,6.344
2010,1,1,9,15,2.249,6.3020000000000005
2010,1,1,9,20,2.199,6.265000000000001
2010,1,1,9,25,2.174,6.2410000000000005
2010,1,1,9,30,2.1390000000000002,6.204
2010,1,1,9,35,2.088,6.152
2010,1,1,9,40,2.035,6.097
2010,1,1,9,45,1.94,5.9990000000000006
2010,1,1,9,50,1.744,5.798
2010,1,1,9,55,1.5330000000000001,5.581
2010,1,1,10,0,1.603,5.655
2010,1,1,10,5,2.073,6.140000000000001
2010,1,1,10,10,2.6550000000000002,6.601
2010,1,1,10,15,2.678,6.6160000000000005
2010,1,1,10,20,2.302,6.341
2010,1,1,10,25,2.035,6.097
2010,1,1,10,30,2.035,6.097
2010,1,1,10,35,2.194,6.2620000000000005
2010,1,1,10,40,2.248,6.3020000000000005
2010,1,1,10,45,2.106,6.17
2010,1,1,10,50,1.987,6.048
2010,1,1,10,55,1.97,6.03
2010,1,1,11,0,2.005,6.067
2010,1,1,11,5,1.982,6.042
2010,1,1,11,10,1.8960000000000001,5.954
2010,1,1,11,15,1.848,5.905
2010,1,1,11,20,1.8840000000000001,5.941
2010,1,1,11,25,1.922,5.981
2010,1,1,11,30,1.946,6.006
2010,1,1,11,35,1.99,6.051
2010,1,1,11,40,2.067,6.131
2010,1,1,11,45,2.005,6.067
2010,1,1,11,50,1.855,5.9110000000000005
2010,1,1,11,55,1.834,5.89
2010,1,1,12,0,1.846,5.902
2010,1,1,12,5,1.7570000000000001,5.8100000000000005
2010,1,1,12,10,1.6300000000000001,5.679
2010,1,1,12,15,1.5050000000000001,5.551
2010,1,1,12,20,1.44,5.484
2010,1,1,12,25,1.455,5.4990000000000006
2010,1,1,12,30,1.434,5.478
2010,1,1,12,35,1.3780000000000001,5.42
2010,1,1,12,40,1.369,5.41
2010,1,1,12,45,1.365,5.407
2010,1,1,12,50,1.327,5.368
2010,1,1,12,55,1.274,5.313
2010,1,1,13,0,1.197,5.2330000000000005
2010,1,1,13,5,1.1420000000000001,5.16
2010,1,1,13,10,1.135,5.151
2010,1,1,13,15,1.122,5.133
2010,1,1,13,20,1.052,5.032
2010,1,1,13,25,0.97,4.916
2010,1,1,13,30,0.966,4.91
2010,1,1,13,35,1.026,4.995
2010,1,1,13,40,1.054,5.035
2010,1,1,13,45,1.067,5.053
2010,1,1,13,50,1.086,5.081
2010,1,1,13,55,1.088,5.0840000000000005
2010,1,1,14,0,1.058,5.041
2010,1,1,14,5,1.06,5.0440000000000005
2010,1,1,14,10,1.091,5.087
2010,1,1,14,15,1.084,5.078
2010,1,1,14,20,1.045,5.023
2010,1,1,14,25,0.981,4.931
2010,1,1,14,30,0.9550000000000001,4.8950000000000005
2010,1,1,14,35,0.983,4.934
2010,1,1,14,40,1.0,4.9590000000000005
2010,1,1,14,45,1.002,4.962
2010,1,1,14,50,0.985,4.937
2010,1,1,14,55,0.9510000000000001,4.889
2010,1,1,15,0,0.9480000000000001,4.885
2010,1,1,15,5,1.004,4.965
2010,1,1,15,10,1.068,5.056
2010,1,1,15,15,1.1280000000000001,5.142
2010,1,1,15,20,1.182,5.218
2010,1,1,15,25,1.306,5.346
2010,1,1,15,30,1.4060000000000001,5.45
2010,1,1,15,35,1.439,5.484
2010,1,1,15,40,1.459,5.505
